"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000186891",163.420161873291,2.15622583704765,0.509121154722336,4.23519199123361,2.2835651465687e-05,0.00312441453073593,"TNFRSF18","8784"
"ENSG00000162493.12",788.667670648817,1.08191379272738,0.304194944345485,3.5566461995457,0.000375619481198682,0.0272476934944073,NA,NA
"ENSG00000184908.13",1473.01659526002,-1.19530501827175,0.346723313091637,-3.44743192378252,0.000565943012469382,0.0365456378005346,NA,NA
"ENSG00000127472",200.48833511914,1.33880586260716,0.361925225169349,3.699122828426,0.000216345887828451,0.0187440992094129,"PLA2G5","5322"
"ENSG00000130766",1011.7067648739,1.1176368510036,0.293952305559905,3.80210268762744,0.00014347323431172,0.0143152102884741,"SESN2","83667"
"ENSG00000162512.11",3304.94426099699,0.510269593910386,0.153838130870758,3.31692533588485,0.000910139355044451,0.0494193153137889,NA,NA
"ENSG00000182866.12",1055.78672389837,1.63005219059364,0.448916690097336,3.63107949994064,0.000282238220448768,0.0223510026841348,NA,NA
"ENSG00000142686",1012.30906619168,0.434974546465578,0.130889055005406,3.32323085721426,0.000889812419143101,0.0484603894604143,"C1orf216","127703"
"ENSG00000259943",705.802321733598,-0.473428903283938,0.12970635826914,-3.65000536289497,0.000262234833754474,0.0213451059997862,NA,NA
"ENSG00000196517",923.477880112184,1.3800707984759,0.368131752556488,3.74885021162127,0.000177647141584045,0.016643429488474,"SLC6A9","6536"
"ENSG00000203943",166.238644647163,-0.833218006563953,0.245275073194114,-3.39707576360412,0.00068110106577731,0.0419248803027913,"SAMD13","148418"
"ENSG00000154451.10",842.684160580117,1.7048135280424,0.503589810867197,3.3853217266383,0.000710948732171371,0.0426923054728907,NA,NA
"ENSG00000064886",877.540641505712,1.83507376624581,0.503173971963839,3.64699660255417,0.000265323430952826,0.0214117497649655,"CHI3L2","1117"
"ENSG00000116748.15",74.2998201269005,2.49405669624213,0.678575644147451,3.6754291400712,0.000237449941594437,0.0200080533103264,NA,NA
"ENSG00000225079",25.7620190803272,2.11371017857506,0.602795872317933,3.50651070394229,0.00045402317511358,0.0310601299846266,NA,NA
"ENSG00000150337",71.8200441214742,1.75837305161205,0.500390135951055,3.51400422446385,0.000441405792948345,0.0304989332637659,"FCGR1A","2209"
"ENSG00000163131",2055.27819866759,0.99068148802254,0.273895966094057,3.61699919188417,0.000298038233942989,0.0229887055891338,"CTSS","1520"
"ENSG00000187862",81.1858602831849,2.39901755257438,0.601593600313644,3.9877710655892,6.6696978132366e-05,0.00758588922478326,"TTC24","164118"
"ENSG00000143297.14",1566.88606989167,3.9828785926705,0.620609903098589,6.41768455963197,1.38362571895673e-10,1.06224021168128e-07,NA,NA
"ENSG00000160856.16",681.265631427385,2.33878457096647,0.608047767923665,3.84638295598526,0.000119874353920637,0.0125022165798436,NA,NA
"ENSG00000132704.11",669.878980507765,4.07583370120836,0.81969301584302,4.97239042230528,6.61323522099735e-07,0.000156400924607631,NA,NA
"ENSG00000163563",231.209416060018,1.25670352955535,0.314115753798232,4.00076568704217,6.31378530727605e-05,0.00741609343415048,"MNDA","4332"
"ENSG00000162739",872.614460026811,1.64120750859746,0.488331628431119,3.3608462222081,0.000777040750327356,0.0446831518392055,"SLAMF6","114836"
"ENSG00000117090.10",306.880796472769,1.62265913904028,0.482905548003689,3.36019982737469,0.000778861160491799,0.0446831518392055,NA,NA
"ENSG00000117091",537.441162832825,1.41071368665908,0.414130504215319,3.4064471761916,0.000658142848947336,0.0408758473240595,"CD48","962"
"ENSG00000026751.12",838.534002422135,3.37543116239809,0.530693076201327,6.36042057785876,2.01202070007974e-10,1.42585200278984e-07,NA,NA
"ENSG00000122224.13",443.000443034525,2.05083033322578,0.490652980896534,4.17979796938857,2.91768189709471e-05,0.00383994725104303,NA,NA
"ENSG00000186517",1799.00923485566,1.34390929127334,0.401652766438538,3.34594805157153,0.000820017571321216,0.0460643203987312,"ARHGAP30","257106"
"ENSG00000198929",32.6989584172816,1.07578309699163,0.293840166721333,3.66111654848013,0.000251118485025194,0.0208390573476417,"NOS1AP","9722"
"ENSG00000239887",160.8134700525,0.946070023339501,0.223651981419211,4.23009900174413,2.33588487039164e-05,0.00318025547033912,"C1orf226","400793"
"ENSG00000197965",6827.56372630154,0.491040947570203,0.134150063288768,3.66038550807985,0.000251836064625238,0.0208390573476417,"MPZL1","9019"
"ENSG00000143851.11",899.244299968784,1.53271548896481,0.439312273701305,3.48889748982276,0.00048501711128931,0.0324573920625035,NA,NA
"ENSG00000163485.11",346.527719359999,1.16265436130725,0.321642237168608,3.61474404463171,0.000300644498459304,0.0230426374865844,NA,NA
"ENSG00000122188",269.9785691604,2.61972937944025,0.577491584206945,4.53639403773798,5.72242199038208e-06,0.00100098923398848,"LAX1","54900"
"ENSG00000197721.12",6.52150509037125,2.50798267158551,0.641375419855736,3.91031928250326,9.21742009921927e-05,0.0100295691615048,NA,NA
"ENSG00000185155",26.4824837490095,2.58796260837781,0.770213849594779,3.36005722273025,0.000779263303657901,0.0446831518392055,"MIXL1","83881"
"ENSG00000260077",887.318899170313,-0.859384925931241,0.231500917845736,-3.71223118218436,0.000205440207723639,0.0185183558789238,NA,NA
"ENSG00000224220",8.28225468722111,4.19154802542291,1.00500239045196,4.17068463243946,3.03685891773265e-05,0.00395908994190071,NA,NA
"ENSG00000271615",3.32330743611484,4.12431051111334,1.206055968809,3.41966759236402,0.000626976983632461,0.039472414290738,NA,NA
"ENSG00000227394",4.36345184791259,2.92458951143978,0.871893060150825,3.35429841698003,0.000795665033043932,0.0451552159820702,NA,NA
